fab_a_target_alias,fab_b_target_alias
HRC_UNITY_FLASH03_SPA00,HRC_UNITY_FLASH03_SPA10
HRC_UNITY_FLASH03_SPA01,HRC_UNITY_FLASH03_SPA11
HRC_UNITY_FLASH03_SPB00,HRC_UNITY_FLASH03_SPB10
HRC_UNITY_FLASH03_SPB01,HRC_UNITY_FLASH03_SPB11
