fab_a_target_alias,fab_b_target_alias
PMAX8K_1d4,PMAX8K_2d5
PMAX8K_3d4,PMAX8K_4d5
PMAX8K_5d4,PMAX8K_6d5
PMAX8K_7d4,PMAX8K_8d5
