fab_a_target_alias,fab_b_target_alias
PStore9K_NA_00,PStore9K_NA_01
PStore9K_NA_02,PStore9K_NA_03
PStore9K_NB_00,PStore9K_NB_01
PStore9K_NB_02,PStore9K_NB_03
