fab_a_target_alias,fab_b_target_alias
HRC_Unity_Flash02_SPA0,HRC_Unity_Flash02_SPA2
HRC_Unity_Flash02_SPA1,HRC_Unity_Flash02_SPA3
HRC_Unity_Flash02_SPB0,HRC_Unity_Flash02_SPB2
HRC_Unity_Flash02_SPB1,HRC_Unity_Flash02_SPB3
