fab_a_target_alias,fab_b_target_alias
PMAX8K_2d6,PMAX8K_1d7
PMAX8K_4d6,PMAX8K_3d7
PMAX8K_6d6,PMAX8K_5d7
PMAX8K_8d6,PMAX8K_7d7
