fab_a_target_alias,fab_b_target_alias
EMC_Unity_SPA_Port0,EMC_Unity_SPA_Port2
EMC_Unity_SPA_Port1,EMC_Unity_SPA_Port3
EMC_Unity_SPB_Port0,EMC_Unity_SPB_Port2
EMC_Unity_SPB_Port1,EMC_Unity_SPB_Port3
