fab_a_target_alias,fab_b_target_alias
PUX90_01_C0P12,PUX90_01_C0P13
PUX90_01_C0P4,PUX90_01_C0P5
PUX90_01_C0P6,PUX90_01_C0P7
PUX90_01_C1P12,PUX90_01_C1P13
PUX90_01_C1P4,PUX90_01_C1P5
PUX90_01_C1P6,PUX90_01_C1P7
