fab_a_target_alias,fab_b_target_alias
HRC_UNITY_FLASH04_SPA00,HRC_UNITY_FLASH04_SPA10
HRC_UNITY_FLASH04_SPA01,HRC_UNITY_FLASH04_SPA11
HRC_UNITY_FLASH04_SPB00,HRC_UNITY_FLASH04_SPB10
HRC_UNITY_FLASH04_SPB01,HRC_UNITY_FLASH04_SPB11
