fab_a_target_alias,fab_b_target_alias
PUC90_01_C0P12,PUC90_01_C0P13
PUC90_01_C0P4,PUC90_01_C0P5
PUC90_01_C0P6,PUC90_01_C0P7
PUC90_01_C1P12,PUC90_01_C1P13
PUC90_01_C1P4,PUC90_01_C1P5
PUC90_01_C1P6,PUC90_01_C1P7
