fab_a_target_alias,fab_b_target_alias
PMAX8K_2d4,PMAX8K_1d5
PMAX8K_4d4,PMAX8K_3d5
PMAX8K_6d4,PMAX8K_5d5
PMAX8K_8d4,PMAX8K_7d5
