fab_a_target_alias,fab_b_target_alias
PMAX8K_1d6,PMAX8K_2d7
PMAX8K_3d6,PMAX8K_4d7
PMAX8K_5d6,PMAX8K_6d7
PMAX8K_7d6,PMAX8K_8d7
