fab_a_target_alias,fab_b_target_alias
HRC_SPLIT_UNITY01_SPA0,HRC_SPLIT_UNITY01_SPA2
HRC_SPLIT_UNITY01_SPA1,HRC_SPLIT_UNITY01_SPA3
HRC_SPLIT_UNITY01_SPB0,HRC_SPLIT_UNITY01_SPB2
HRC_SPLIT_UNITY01_SPB1,HRC_SPLIT_UNITY01_SPB3
