fab_a_target_alias,fab_b_target_alias
PStore9K_NA_10,PStore9K_NA_11
PStore9K_NA_12,PStore9K_NA_13
PStore9K_NB_10,PStore9K_NB_11
PStore9K_NB_12,PStore9K_NB_13
